#{"t_start": 1637651421.30201, "env_id": null}
r,l,t
0.96,16,0.084882
0.9625,15,0.127484
0.9675,13,0.156939
0.97,12,0.185248
0.965,14,0.217191
0.955,18,0.264396
0.965,14,0.307441
0.97,12,0.335685
0.9675,13,0.36516
0.97,12,0.392961
0.9725,11,0.419788
0.9725,11,0.456695
0.975,10,0.48118
0.97,12,0.511377
0.975,10,0.536274
0.97,12,0.56471
0.975,10,0.58979
0.96,16,0.633142
0.9625,15,0.665687
0.9575,17,0.711223
0.965,14,0.741745
0.9375,25,0.82005
0.9775,9,0.848888
0.96,16,0.890071
0.96,16,0.94434
0.9575,17,0.986997
0.965,14,1.037299
0.97,12,1.071091
0.9625,15,1.122861
0.9425,23,1.187593
0.955,18,1.243741
0.965,14,1.280364
0.965,14,1.31686
0.955,18,1.376323
0.9575,17,1.435534
0.965,14,1.478291
0.965,14,1.530489
0.97,12,1.563817
0.965,14,1.599533
0.9525,19,1.656025
0.96,16,1.707955
0.9625,15,1.746113
0.96,16,1.798477
0.965,14,1.834292
0.9525,19,1.892146
0.95,20,1.951228
0.94,24,2.031168
0.975,10,2.060979
0.9775,9,2.089027
0.9625,15,2.127681
0.96,16,2.179693
0.96,16,2.21851
0.9725,11,2.249605
0.98,8,2.276097
0.9425,23,2.339112
0.9625,15,2.390627
0.965,14,2.427141
0.9425,23,2.504443
0.965,14,2.541125
0.965,14,2.57769
0.96,16,2.629944
0.97,12,2.662979
0.965,14,2.712608
0.9675,13,2.747844
0.9725,11,2.782268
0.9575,17,2.841196
0.9625,15,2.882361
0.97,12,2.917473
0.9575,17,2.973294
0.9575,17,3.028515
0.965,14,3.065888
0.9625,15,3.117956
0.96,16,3.159459
0.95,20,3.218986
0.965,14,3.269178
0.96,16,3.308578
0.9775,9,3.337241
0.9675,13,3.391749
0.9625,15,3.434596
0.9575,17,3.492799
0.9575,17,3.530119
0.9625,15,3.574615
0.955,18,3.621463
0.96,16,3.655379
0.9625,15,3.701021
0.96,16,3.735345
0.9475,21,3.804035
0.9675,13,3.839183
0.955,18,3.887185
0.97,12,3.918635
0.9525,19,3.967574
0.965,14,3.998542
0.945,22,4.052425
0.95,20,4.105946
0.97,12,4.155137
0.9525,19,4.201378
0.96,16,4.255674
0.96,16,4.309586
0.9625,15,4.348635
0.97,12,4.383809
0.96,16,4.438914
0.9725,11,4.471181
0.9575,17,4.528021
0.9675,13,4.563691
0.965,14,4.602376
0.9725,11,4.651775
0.965,14,4.691175
0.965,14,4.730835
0.9675,13,4.783837
0.9625,15,4.823876
0.9625,15,4.879529
0.955,18,4.924485
0.965,14,4.975449
0.9725,11,5.007402
0.965,14,5.043993
0.9675,13,5.089748
0.965,14,5.121914
0.98,8,5.15028
0.9525,19,5.21027
0.96,16,5.250902
0.965,14,5.301914
0.98,8,5.329621
0.965,14,5.369221
0.975,10,5.402577
0.965,14,5.44291
0.96,16,5.504232
0.9725,11,5.53838
0.9625,15,5.581213
0.9675,13,5.610422
0.955,18,5.657008
0.9625,15,5.689383
0.9625,15,5.734911
0.955,18,5.775752
0.965,14,5.817684
0.975,10,5.846013
0.9625,15,5.882733
0.9725,11,5.910369
0.9675,13,5.9513
0.97,12,5.979316
0.965,14,8.121711
0.96,16,8.165937
0.9575,17,8.210974
0.9675,13,8.239878
0.9675,13,8.26872
0.9625,15,8.311196
0.9625,15,8.344096
0.97,12,8.372092
0.95,20,8.421096
0.97,12,8.459221
0.97,12,8.486316
0.9625,15,8.517412
0.97,12,8.556154
0.97,12,8.591353
0.965,14,8.63056
0.96,16,8.687432
0.9725,11,8.720307
0.96,16,8.761045
0.9625,15,8.813674
0.97,12,8.847385
0.95,20,8.910191
0.965,14,8.962871
0.9725,11,8.996023
0.9625,15,9.03651
0.97,12,9.070228
0.97,12,9.117377
0.965,14,9.154402
0.9675,13,9.189717
0.9625,15,9.241192
0.96,16,9.280838
0.9725,11,9.312656
0.965,14,9.364419
0.9775,9,9.396718
0.975,10,9.430074
0.9575,17,9.477749
0.97,12,9.530138
0.9525,19,9.589709
0.9675,13,9.624681
0.9625,15,9.662938
0.97,12,9.710141
0.9525,19,9.754835
0.9575,17,9.810347
0.9775,9,9.839229
0.965,14,9.875908
0.975,10,9.906643
0.965,14,9.956997
0.965,14,9.993817
0.96,16,10.046988
0.9475,21,10.107827
0.9725,11,10.139839
0.9725,11,10.17168
0.9725,11,10.204299
0.9625,15,10.256277
0.9725,11,10.287977
0.965,14,10.32003
0.965,14,10.36033
0.9625,15,10.391831
0.9625,15,10.433549
0.9725,11,10.459353
0.965,14,10.488693
0.9625,15,10.529953
0.9625,15,10.561355
0.9575,17,10.606148
0.975,10,10.631273
0.9625,15,10.662224
0.9525,19,10.710314
0.97,12,10.737919
0.9625,15,10.779901
0.97,12,10.80674
0.955,18,10.8521
0.945,22,10.903979
0.9575,17,10.947705
0.965,14,10.97697
0.9725,11,11.006165
0.9575,17,11.061218
0.97,12,11.091444
0.97,12,11.11821
0.9625,15,11.161672
0.96,16,11.216537
0.965,14,11.254052
0.965,14,11.291551
0.97,12,11.33991
0.9575,17,11.384506
0.9575,17,11.446968
0.9625,15,11.491922
0.965,14,11.547115
0.95,20,11.60959
0.96,16,11.650071
0.96,16,11.705757
